CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0045,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0046,M,29,IV,CIV:D;HIST:D;GEO:F;KISW:F;ENGL:F;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0047,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0048,M,16,I,CIV:B;HIST:C;GEO:C;F.ART:X;KISW:C;ENGL:C;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0049,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;CHEM:X;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0050,M,*E,*E,,s0101
S0101/0051,M,23,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0052,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0053,M,35,FLD,CIV:F;HIST:F;GEO:F;PHY;EDU:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0054,M,24,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;BIO:D;B-MATH:D;COMM:D;B-KEEPING:D,s0101
S0101/0055,M,27,IV,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0056,M,30,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0057,M,21,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0058,M,32,IV,CIV:D;HIST:D;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0059,M,22,III,CIV:D;HIST:D;GEO:D;F.ART:B;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0060,M,35,FLD,CIV:F;HIST:F;GEO:F;F.ART:X;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0061,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:F;ENGL:F;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0062,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0063,M,24,III,CIV:D;HIST:D;GEO:D;PHY;EDU:D;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0064,M,16,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0065,M,16,I,CIV:B;HIST:C;GEO:C;F.ART:B;KISW:C;ENGL:B;PHY:C;CHEM:B;BIO:B;B-MATH:D,s0101
S0101/0066,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0067,M,29,IV,CIV:F;HIST:F;GEO:X;F.ART:X;KISW:D;ENGL:D;BIO:X;B-MATH:D;COMM:D;B-KEEPING:C,s0101
S0101/0068,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0069,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0070,M,24,III,CIV:F;HIST:F;GEO:D;KISW:C;ENGL:D;PHY:C;CHEM:C;BIO:D;B-MATH:C,s0101
S0101/0071,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0072,M,32,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0073,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;BIO:F;B-MATH:F;COMM:D;B-KEEPING:D,s0101
S0101/0074,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0075,M,23,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:D;B-MATH:C,s0101
S0101/0076,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0077,M,20,II,CIV:D;HIST:D;GEO:C;KISW:D;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0078,M,33,IV,CIV:D;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0079,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0080,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0081,M,23,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0082,M,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;BIO:C;B-MATH:C;COMM:C;B-KEEPING:D,s0101
S0101/0083,M,28,IV,CIV:F;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:F,s0101
S0101/0084,M,35,FLD,CIV:F;HIST:F;GEO:F;F.ART:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0085,M,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:D;COMM:F;B-KEEPING:D,s0101
S0101/0086,M,29,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:C;PHY:F;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0087,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0088,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0089,M,29,IV,CIV:F;HIST:F;GEO:D;F.ART:F;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:F,s0101
S0101/0090,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;PHY:F;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0091,M,34,FLD,CIV:F;HIST:D;GEO:F;F.ART:F;KISW:F;ENGL:F;CHEM:X;BIO:F;B-MATH:F,s0101
S0101/0092,M,19,II,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0093,M,20,II,CIV:C;HIST:C;GEO:D;F.ART:X;KISW:C;ENGL:B;BIO:C;B-MATH:D;COMM:C;B-KEEPING:C,s0101
S0101/0094,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0095,M,31,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:C;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0096,M,31,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:D;CHEM:F;BIO:F;B-MATH:D,s0101
S0101/0097,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:D;CHEM:D;BIO:F;B-MATH:F,s0101
S0101/0098,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0099,M,27,IV,CIV:F;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0100,M,20,II,CIV:D;HIST:C;GEO:C;PHY;EDU:X;KISW:D;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:D,s0101
S0101/0101,M,23,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0102,M,30,IV,CIV:D;HIST:D;GEO:D;B-KNOWL:F;KISW:D;ENGL:D;BIO:F;B-MATH:F,s0101
S0101/0103,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0104,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0105,M,27,IV,CIV:C;HIST:D;GEO:D;KISW:F;ENGL:D;BIO:D;B-MATH:F;COMM:D;B-KEEPING:D,s0101
S0101/0106,M,21,II,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0107,M,19,II,CIV:C;HIST:F;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0108,M,23,III,CIV:D;HIST:D;GEO:D;F.ART:F;KISW:C;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0109,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0110,M,35,FLD,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0111,M,24,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;BIO:C;B-MATH:D;COMM:C;B-KEEPING:C,s0101
S0101/0112,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0113,M,22,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0114,M,23,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:C;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0115,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0116,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F,s0101
S0101/0117,M,35,FLD,CIV:F;HIST:F;GEO:F;F.ART:X;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0118,M,27,IV,CIV:F;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:C;B-MATH:F,s0101
S0101/0119,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0120,M,25,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0121,M,18,II,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0122,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0123,M,27,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0124,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0125,M,35,FLD,CIV:F;HIST:F;GEO:F;B-KNOWL:X;F.ART:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0126,M,24,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0127,M,-,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:X,s0101
S0101/0128,M,35,FLD,CIV:F;HIST:F;GEO:F;B-KNOWL:X;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0129,M,33,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0130,M,19,II,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:B;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0131,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;BIO:D;B-MATH:F;COMM:D;B-KEEPING:D,s0101
S0101/0132,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:X;B-KEEPING:X,s0101
S0101/0133,M,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:D,s0101
S0101/0134,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0135,M,29,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:C;PHY:F;CHEM:D;BIO:D;B-MATH:F,s0101
S0101/0136,M,27,IV,CIV:D;HIST:D;GEO:F;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:C;B-MATH:F,s0101
S0101/0137,M,18,II,CIV:D;HIST:C;GEO:C;KISW:D;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0138,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0139,M,35,FLD,CIV:F;HIST:F;GEO:F;F.ART:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0140,M,34,FLD,CIV:D;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0141,M,25,III,CIV:D;HIST:D;GEO:D;E-D-KIISLAMU:D;KISW:D;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0142,M,31,IV,CIV:F;HIST:F;GEO:F;F.ART:D;KISW:F;ENGL:D;PHY:D;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0143,M,21,II,CIV:D;HIST:D;GEO:C;E-D-KIISLAMU:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0144,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0145,M,19,II,CIV:D;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0146,M,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:D;B-MATH:F,s0101
S0101/0147,M,19,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;BIO:D;B-MATH:B;COMM:C;B-KEEPING:B,s0101
S0101/0148,M,27,IV,CIV:D;HIST:F;GEO:D;KISW:F;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:C,s0101
S0101/0149,M,32,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:D;B-KEEPING:F,s0101
S0101/0150,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0151,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0152,M,20,II,CIV:D;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:D;CHEM:D;BIO:B;B-MATH:B,s0101
S0101/0153,M,29,IV,CIV:D;HIST:F;GEO:F;F.ART:D;KISW:D;ENGL:F;PHY:D;CHEM:D;BIO:F;B-MATH:D,s0101
S0101/0154,M,*E,*E,,s0101
S0101/0155,M,29,IV,CIV:F;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:F;BIO:D;B-MATH:D,s0101
S0101/0156,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0157,M,26,IV,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:D;PHY:C;CHEM:C;BIO:D;B-MATH:C,s0101
S0101/0158,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0159,M,21,II,CIV:D;HIST:D;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0160,M,25,III,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:D;BIO:C;B-MATH:C,s0101
S0101/0161,M,21,II,CIV:D;HIST:D;GEO:C;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:B,s0101
S0101/0162,M,33,IV,CIV:F;HIST:D;GEO:F;B-KNOWL:X;F.ART:F;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0163,M,34,FLD,CIV:D;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0164,M,33,IV,CIV:D;HIST:D;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0165,M,25,III,CIV:D;HIST:D;GEO:C;B-KNOWL:D;KISW:D;ENGL:D;BIO:C;B-MATH:C;COMM:D;B-KEEPING:D,s0101
S0101/0166,M,23,III,CIV:D;HIST:D;GEO:C;B-KNOWL:X;KISW:C;ENGL:C;PHY:D;CHEM:D;BIO:C;B-MATH:C,s0101
S0101/0167,M,19,II,CIV:C;HIST:D;GEO:C;KISW:C;ENGL:D;PHY:C;CHEM:C;BIO:B;B-MATH:B,s0101
S0101/0168,M,34,FLD,CIV:F;HIST:F;GEO:F;B-KNOWL:X;KISW:F;ENGL:F;BIO:D;B-MATH:F,s0101
S0101/0169,M,35,FLD,CIV:F;HIST:F;GEO:F;B-KNOWL:X;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0170,M,25,III,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:D;BIO:C;B-MATH:C;COMM:D;B-KEEPING:C,s0101
S0101/0171,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0172,M,27,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;BIO:D;B-MATH:D;COMM:D;B-KEEPING:D,s0101
S0101/0173,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0174,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0175,M,18,II,CIV:C;HIST:C;GEO:C;E-D-KIISLAMU:D;KISW:B;ENGL:B;PHY:C;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0176,M,18,II,CIV:C;HIST:C;GEO:B;PHY;EDU:X;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:B;B-MATH:B,s0101
S0101/0177,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0178,M,-,ABS,CIV:X;HIST:X;GEO:X;KISW:X;ENGL:X;PHY:X;CHEM:X;BIO:X;B-MATH:X,s0101
S0101/0179,M,-,ABS,CIV:X;HIST:X;GEO:X;KISW:X;ENGL:X;PHY:X;CHEM:X;BIO:X;B-MATH:X,s0101
S0101/0180,M,27,IV,CIV:D;HIST:D;GEO:D;E-D-KIISLAMU:D;KISW:D;ENGL:D;PHY:F;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0181,M,17,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:C;BIO:B;B-MATH:B,s0101
S0101/0182,M,31,IV,CIV:D;HIST:D;GEO:F;KISW:D;ENGL:F;PHY:F;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0183,M,29,IV,CIV:F;HIST:F;GEO:D;KISW:D;ENGL:F;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0184,M,29,IV,CIV:F;HIST:F;GEO:D;KISW:F;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0185,M,-,ABS,CIV:X;HIST:X;GEO:X;KISW:X;ENGL:X;PHY:X;CHEM:X;BIO:X;B-MATH:X,s0101
